Image,Tree_ID,Confidence,Center_X,Center_Y,Width,Height,Area,Canopy_Size
000166_jpg.rf.80c60a4788a924f280158da81ab8c225.jpg,1,0.74,408.67,325.25,250.19,237.59,59443.16,243.89
000166_jpg.rf.80c60a4788a924f280158da81ab8c225.jpg,2,0.695,465.11,100.45,283.03,200.9,56862.44,241.97
000166_jpg.rf.80c60a4788a924f280158da81ab8c225.jpg,3,0.687,113.75,79.05,227.51,157.67,35869.82,192.59
000166_jpg.rf.80c60a4788a924f280158da81ab8c225.jpg,4,0.585,402.16,517.29,222.56,239.58,53319.51,231.07
000437_jpg.rf.2cad573176dc21f6b3dcb5ff840ea876.jpg,1,0.723,104.87,91.06,209.74,182.12,38196.7,195.93
001337_jpg.rf.7d30b9a9cf46dc265dfcd6e322421942.jpg,1,0.54,378.03,539.63,282.07,200.74,56624.45,241.41
001395_jpg.rf.5c5f6e09500e0107040a690a88069b76.jpg,1,0.646,109.98,328.72,218.01,245.07,53429.19,231.54
001892_jpg.rf.bb68abf70a5a0d6939936da140d2ce08.jpg,1,0.744,125.46,490.3,248.29,252.68,62737.82,250.48
001892_jpg.rf.bb68abf70a5a0d6939936da140d2ce08.jpg,2,0.718,121.07,173.01,238.66,250.11,59690.58,244.38
001892_jpg.rf.bb68abf70a5a0d6939936da140d2ce08.jpg,3,0.709,542.81,302.34,194.37,241.82,47002.99,218.1
001892_jpg.rf.bb68abf70a5a0d6939936da140d2ce08.jpg,4,0.438,455.94,563.89,282.02,152.21,42927.28,217.12
001892_jpg.rf.bb68abf70a5a0d6939936da140d2ce08.jpg,5,0.319,587.48,72.06,105.03,144.13,15138.46,124.58
001982_jpg.rf.4994046047def64c69a1f3cf87a00ac3.jpg,1,0.48,341.23,251.58,286.71,274.48,78693.73,280.59
001982_jpg.rf.4994046047def64c69a1f3cf87a00ac3.jpg,2,0.348,586.1,345.61,107.8,313.17,33759.42,210.48
002033_jpg.rf.2d75f061d36d86ec8ed073d8af908270.jpg,1,0.734,134.84,480.56,259.89,247.1,64217.65,253.49
002033_jpg.rf.2d75f061d36d86ec8ed073d8af908270.jpg,2,0.576,449.75,234.84,263.55,267.6,70527.86,265.58
002111_jpg.rf.dc0bfd7b60ac8ba1838f224f4ebd3181.jpg,1,0.679,381.15,296.3,246.82,266.42,65756.66,256.62
002111_jpg.rf.dc0bfd7b60ac8ba1838f224f4ebd3181.jpg,2,0.397,589.52,183.65,100.83,257.96,26009.01,179.39
